mode,example,elapsed_ms
all-on,data_flow,119
without-bidirectional,data_flow,68
without-remove-redundant-parts,data_flow,69
without-bidirectional without-remove-redundant-parts,data_flow,69
without-remove-redundant-sets,data_flow,73
without-bidirectional without-remove-redundant-sets,data_flow,72
without-remove-redundant-parts without-remove-redundant-sets,data_flow,67
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,data_flow,72
without-generate-less,data_flow,73
without-bidirectional without-generate-less,data_flow,67
without-remove-redundant-parts without-generate-less,data_flow,73
without-bidirectional without-remove-redundant-parts without-generate-less,data_flow,73
without-remove-redundant-sets without-generate-less,data_flow,78
without-bidirectional without-remove-redundant-sets without-generate-less,data_flow,71
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,data_flow,70
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,data_flow,67
without-smart-kleene-order,data_flow,69
without-bidirectional without-smart-kleene-order,data_flow,71
without-remove-redundant-parts without-smart-kleene-order,data_flow,69
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,data_flow,74
without-remove-redundant-sets without-smart-kleene-order,data_flow,69
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,data_flow,69
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,data_flow,76
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,data_flow,70
without-generate-less without-smart-kleene-order,data_flow,69
without-bidirectional without-generate-less without-smart-kleene-order,data_flow,70
without-remove-redundant-parts without-generate-less without-smart-kleene-order,data_flow,76
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,data_flow,70
without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,68
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,68
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,70
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,data_flow,73
all-on,login_flow,70
without-bidirectional,login_flow,72
without-remove-redundant-parts,login_flow,76
without-bidirectional without-remove-redundant-parts,login_flow,75
without-remove-redundant-sets,login_flow,81
without-bidirectional without-remove-redundant-sets,login_flow,72
without-remove-redundant-parts without-remove-redundant-sets,login_flow,72
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,login_flow,72
without-generate-less,login_flow,82
without-bidirectional without-generate-less,login_flow,76
without-remove-redundant-parts without-generate-less,login_flow,77
without-bidirectional without-remove-redundant-parts without-generate-less,login_flow,71
without-remove-redundant-sets without-generate-less,login_flow,81
without-bidirectional without-remove-redundant-sets without-generate-less,login_flow,70
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,login_flow,68
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,login_flow,71
without-smart-kleene-order,login_flow,75
without-bidirectional without-smart-kleene-order,login_flow,67
without-remove-redundant-parts without-smart-kleene-order,login_flow,72
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,login_flow,70
without-remove-redundant-sets without-smart-kleene-order,login_flow,75
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,login_flow,71
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,login_flow,72
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,login_flow,69
without-generate-less without-smart-kleene-order,login_flow,69
without-bidirectional without-generate-less without-smart-kleene-order,login_flow,73
without-remove-redundant-parts without-generate-less without-smart-kleene-order,login_flow,72
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,login_flow,72
without-remove-redundant-sets without-generate-less without-smart-kleene-order,login_flow,68
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,login_flow,66
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,login_flow,71
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,login_flow,79
all-on,shopping_cart,70
without-bidirectional,shopping_cart,66
without-remove-redundant-parts,shopping_cart,70
without-bidirectional without-remove-redundant-parts,shopping_cart,70
without-remove-redundant-sets,shopping_cart,73
without-bidirectional without-remove-redundant-sets,shopping_cart,70
without-remove-redundant-parts without-remove-redundant-sets,shopping_cart,73
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,shopping_cart,72
without-generate-less,shopping_cart,71
without-bidirectional without-generate-less,shopping_cart,72
without-remove-redundant-parts without-generate-less,shopping_cart,72
without-bidirectional without-remove-redundant-parts without-generate-less,shopping_cart,71
without-remove-redundant-sets without-generate-less,shopping_cart,68
without-bidirectional without-remove-redundant-sets without-generate-less,shopping_cart,69
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,shopping_cart,71
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,shopping_cart,72
without-smart-kleene-order,shopping_cart,67
without-bidirectional without-smart-kleene-order,shopping_cart,73
without-remove-redundant-parts without-smart-kleene-order,shopping_cart,68
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,shopping_cart,72
without-remove-redundant-sets without-smart-kleene-order,shopping_cart,68
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,shopping_cart,73
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,shopping_cart,69
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,shopping_cart,73
without-generate-less without-smart-kleene-order,shopping_cart,68
without-bidirectional without-generate-less without-smart-kleene-order,shopping_cart,70
without-remove-redundant-parts without-generate-less without-smart-kleene-order,shopping_cart,68
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,shopping_cart,71
without-remove-redundant-sets without-generate-less without-smart-kleene-order,shopping_cart,68
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,shopping_cart,69
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,shopping_cart,68
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,shopping_cart,73
all-on,snapshot_isolation_directly_as_NS_without_yields,67
without-bidirectional,snapshot_isolation_directly_as_NS_without_yields,73
without-remove-redundant-parts,snapshot_isolation_directly_as_NS_without_yields,71
without-bidirectional without-remove-redundant-parts,snapshot_isolation_directly_as_NS_without_yields,73
without-remove-redundant-sets,snapshot_isolation_directly_as_NS_without_yields,77
without-bidirectional without-remove-redundant-sets,snapshot_isolation_directly_as_NS_without_yields,76
without-remove-redundant-parts without-remove-redundant-sets,snapshot_isolation_directly_as_NS_without_yields,79
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,snapshot_isolation_directly_as_NS_without_yields,69
without-generate-less,snapshot_isolation_directly_as_NS_without_yields,72
without-bidirectional without-generate-less,snapshot_isolation_directly_as_NS_without_yields,73
without-remove-redundant-parts without-generate-less,snapshot_isolation_directly_as_NS_without_yields,71
without-bidirectional without-remove-redundant-parts without-generate-less,snapshot_isolation_directly_as_NS_without_yields,70
without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_without_yields,80
without-bidirectional without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_without_yields,70
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_without_yields,72
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_without_yields,70
without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,71
without-bidirectional without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,69
without-remove-redundant-parts without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,74
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,80
without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,69
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,73
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,69
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,70
without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,73
without-bidirectional without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,69
without-remove-redundant-parts without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,75
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,73
without-remove-redundant-sets without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,69
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,79
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,70
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_without_yields,78
all-on,snapshot_isolation_directly_as_NS_with_yields,72
without-bidirectional,snapshot_isolation_directly_as_NS_with_yields,75
without-remove-redundant-parts,snapshot_isolation_directly_as_NS_with_yields,70
without-bidirectional without-remove-redundant-parts,snapshot_isolation_directly_as_NS_with_yields,72
without-remove-redundant-sets,snapshot_isolation_directly_as_NS_with_yields,70
without-bidirectional without-remove-redundant-sets,snapshot_isolation_directly_as_NS_with_yields,72
without-remove-redundant-parts without-remove-redundant-sets,snapshot_isolation_directly_as_NS_with_yields,70
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,snapshot_isolation_directly_as_NS_with_yields,71
without-generate-less,snapshot_isolation_directly_as_NS_with_yields,71
without-bidirectional without-generate-less,snapshot_isolation_directly_as_NS_with_yields,78
without-remove-redundant-parts without-generate-less,snapshot_isolation_directly_as_NS_with_yields,69
without-bidirectional without-remove-redundant-parts without-generate-less,snapshot_isolation_directly_as_NS_with_yields,70
without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_with_yields,74
without-bidirectional without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_with_yields,71
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_with_yields,72
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,snapshot_isolation_directly_as_NS_with_yields,67
without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,69
without-bidirectional without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,71
without-remove-redundant-parts without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,71
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,70
without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,68
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,71
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,70
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,66
without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,68
without-bidirectional without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,74
without-remove-redundant-parts without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,69
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,70
without-remove-redundant-sets without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,67
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,75
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,71
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,snapshot_isolation_directly_as_NS_with_yields,70
all-on,state_machine,67
without-bidirectional,state_machine,70
without-remove-redundant-parts,state_machine,69
without-bidirectional without-remove-redundant-parts,state_machine,64
without-remove-redundant-sets,state_machine,70
without-bidirectional without-remove-redundant-sets,state_machine,73
without-remove-redundant-parts without-remove-redundant-sets,state_machine,69
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets,state_machine,73
without-generate-less,state_machine,68
without-bidirectional without-generate-less,state_machine,70
without-remove-redundant-parts without-generate-less,state_machine,67
without-bidirectional without-remove-redundant-parts without-generate-less,state_machine,71
without-remove-redundant-sets without-generate-less,state_machine,75
without-bidirectional without-remove-redundant-sets without-generate-less,state_machine,68
without-remove-redundant-parts without-remove-redundant-sets without-generate-less,state_machine,72
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less,state_machine,73
without-smart-kleene-order,state_machine,69
without-bidirectional without-smart-kleene-order,state_machine,69
without-remove-redundant-parts without-smart-kleene-order,state_machine,76
without-bidirectional without-remove-redundant-parts without-smart-kleene-order,state_machine,69
without-remove-redundant-sets without-smart-kleene-order,state_machine,69
without-bidirectional without-remove-redundant-sets without-smart-kleene-order,state_machine,70
without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,state_machine,75
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-smart-kleene-order,state_machine,71
without-generate-less without-smart-kleene-order,state_machine,69
without-bidirectional without-generate-less without-smart-kleene-order,state_machine,70
without-remove-redundant-parts without-generate-less without-smart-kleene-order,state_machine,69
without-bidirectional without-remove-redundant-parts without-generate-less without-smart-kleene-order,state_machine,69
without-remove-redundant-sets without-generate-less without-smart-kleene-order,state_machine,71
without-bidirectional without-remove-redundant-sets without-generate-less without-smart-kleene-order,state_machine,76
without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,state_machine,69
without-bidirectional without-remove-redundant-parts without-remove-redundant-sets without-generate-less without-smart-kleene-order,state_machine,70
