bidirectional_pruning ON,remove_redundant ON,generate_less ON,smart_order ON,benchmark,num_components,max_periods_per_component,avg_periods_per_component
1,1,1,0,arithmetic,1,1,1.00
1,1,0,1,arithmetic,2,1,0.50
1,1,1,1,arithmetic,1,1,1.00
1,0,1,1,arithmetic,1,1,1.00
1,1,1,1,BGP_routing,3,6,5.00
1,0,1,1,BGP_routing,4,10,6.50
1,1,1,0,BGP_routing,3,6,5.00
1,1,1,1,bank_without_yields,32,7,5.09
1,0,1,1,bank,249,39,21.24
1,1,1,1,bank,26,7,4.92
1,1,1,0,bank,19,7,4.47
1,1,0,1,BGP_routing,147464,29,14.33
1,0,1,1,bank_without_yields,83,32,16.13
1,1,1,0,bank_without_yields,26,7,4.88
1,1,1,1,boolean_ops,1,1,1.00
1,0,1,1,boolean_ops,1,1,1.00
1,1,0,1,boolean_ops,2,1,0.50
1,1,1,0,boolean_ops,1,1,1.00
1,1,1,1,complex_expr,1,1,1.00
1,0,1,1,complex_expr,1,1,1.00
1,1,0,1,complex_expr,2,1,0.50
1,1,1,0,complex_expr,1,1,1.00
1,1,1,1,complex_while_with_yields,2,1,1.00
1,1,0,1,complex_while_with_yields,4,1,0.50
1,1,1,0,complex_while_with_yields,2,1,1.00
1,1,0,1,equality_check,2,1,0.50
1,1,1,1,equality_check,1,1,1.00
1,0,1,1,equality_check,1,1,1.00
1,1,1,0,equality_check,1,1,1.00
1,0,1,1,ex,1,1,1.00
1,1,1,1,ex,1,1,1.00
1,1,1,0,ex,1,1,1.00
1,1,1,1,flag_non_ser,2,1,0.50
1,0,1,1,flag_non_ser,2,1,0.50
1,1,0,1,flag_non_ser,3,1,0.33
1,1,1,0,flag_non_ser,2,1,0.50
1,1,1,1,flag_non_ser_turned_ser,3,2,1.33
1,0,1,1,flag_non_ser_turned_ser,3,2,1.33
1,1,0,1,flag_non_ser_turned_ser,9,2,0.89
1,1,1,0,flag_non_ser_turned_ser,3,2,1.33
1,0,1,1,fred,14,7,3.93
1,1,1,1,fred,9,3,2.56
1,1,1,0,fred,6,3,2.33
1,1,0,1,fred,336,14,6.81
1,1,1,1,fred2,9,3,2.56
1,0,1,1,fred2,14,7,3.93
1,1,0,1,fred2,336,14,6.81
1,1,1,0,fred2,10,3,2.50
1,1,1,1,fred2_arith,9,3,2.56
1,0,1,1,fred2_arith,14,7,3.93
1,1,0,1,fred2_arith,336,14,6.81
1,1,1,0,fred2_arith,9,3,2.56
1,1,1,1,fred_arith,9,3,2.56
1,0,1,1,fred_arith,14,7,3.93
1,1,0,1,fred_arith,336,14,6.81
1,1,1,0,fred_arith,6,3,2.33
1,1,1,1,fred_arith_simplified_until_1,2,1,1.00
1,0,1,1,fred_arith_simplified_until_1,2,1,1.00
1,1,0,1,fred_arith_simplified_until_1,4,1,0.50
1,1,1,0,fred_arith_simplified_until_1,2,1,1.00
1,1,1,1,fred_arith_simplified_until_2,4,2,1.50
1,0,1,1,fred_arith_simplified_until_2,6,3,1.67
1,1,0,1,fred_arith_simplified_until_2,20,4,1.90
1,1,1,0,fred_arith_simplified_until_2,4,2,1.50
1,1,1,1,fred_arith_tricky,4,2,1.50
1,0,1,1,fred_arith_tricky,6,3,1.67
1,1,0,1,fred_arith_tricky,20,4,1.90
1,1,1,0,fred_arith_tricky,4,2,1.50
1,1,1,1,fred_arith_tricky2,2,1,1.00
1,0,1,1,fred_arith_tricky2,2,1,1.00
1,1,0,1,fred_arith_tricky2,4,1,0.50
1,1,1,0,fred_arith_tricky2,2,1,1.00
1,1,1,1,fred_arith_tricky3,3,3,2.33
1,0,1,1,fred_arith_tricky3,5,5,3.00
1,1,0,1,fred_arith_tricky3,50,6,2.74
1,1,1,0,fred_arith_tricky3,3,3,2.33
1,1,1,1,funny,3,1,1.00
1,0,1,1,funny,3,1,1.00
1,1,0,1,funny,6,1,0.50
1,1,1,0,funny,3,1,1.00
1,1,1,1,globals,2,1,1.00
1,0,1,1,globals,3,1,0.67
1,1,0,1,globals,5,1,0.40
1,1,1,0,globals,2,1,1.00
1,0,1,1,if_expr,1,1,1.00
1,1,1,0,if_expr,1,1,1.00
1,1,0,1,if_expr,2,1,0.50
1,1,1,1,if_while,1,1,1.00
1,1,0,1,if_while,2,1,0.50
1,1,1,0,if_while,1,1,1.00
1,1,1,1,incrdecr,4,2,1.50
1,0,1,1,incrdecr,6,3,1.67
1,1,1,0,incrdecr,4,2,1.50
1,1,0,1,incrdecr,20,4,1.90
1,1,1,1,less_simple_ser,3,3,2.33
1,0,1,1,less_simple_ser,192,26,13.50
1,1,1,0,less_simple_ser,3,3,2.67
1,1,1,1,mixed_expr,1,1,1.00
1,0,1,1,mixed_expr,1,1,1.00
1,1,0,1,mixed_expr,2,1,0.50
1,1,1,0,mixed_expr,1,1,1.00
1,1,1,1,modulo,22,4,2.64
1,0,1,1,modulo,96,10,5.67
1,1,1,0,modulo,15,4,2.80
1,1,1,1,modulo_nonser,15,4,2.80
1,1,0,1,modulo,5120,14,6.90
1,0,1,1,modulo_nonser,194,11,6.61
1,1,1,0,modulo_nonser,22,4,2.64
1,1,0,1,modulo_nonser,5120,14,6.90
1,1,1,1,multiple_requests,1,2,2.00
1,0,1,1,multiple_requests,1,2,2.00
1,1,0,1,multiple_requests,4,2,1.00
1,1,1,0,multiple_requests,1,2,2.00
1,1,1,1,multiple_vars,1,1,1.00
1,0,1,1,multiple_vars,1,1,1.00
1,1,0,1,multiple_vars,2,1,0.50
1,1,1,0,multiple_vars,1,1,1.00
1,1,1,1,nested_while,1,1,1.00
1,0,1,1,nested_while,1,1,1.00
1,1,0,1,nested_while,2,1,0.50
1,1,1,0,nested_while,1,1,1.00
1,1,1,1,nondet,1,0,0.00
1,0,1,1,nondet,1,0,0.00
1,1,0,1,nondet,1,0,0.00
1,1,1,0,nondet,1,0,0.00
1,1,1,1,nondet2,1,1,1.00
1,0,1,1,nondet2,4,2,1.50
1,1,0,1,nondet2,12,2,0.83
1,1,1,0,nondet2,1,1,1.00
1,1,1,1,nondet_impl,3,3,2.33
1,0,1,1,nondet_impl,4,4,2.50
1,1,0,1,nondet_impl,24,5,2.33
1,1,1,0,nondet_impl,3,3,2.33
1,1,1,1,nondet_impl2,1,1,1.00
1,0,1,1,nondet_impl2,1,1,1.00
1,1,0,1,nondet_impl2,2,1,0.50
1,1,1,0,nondet_impl2,1,1,1.00
1,1,1,1,self_loop,1,1,1.00
1,0,1,1,self_loop,2,1,0.50
1,1,0,1,self_loop,3,1,0.33
1,1,1,0,self_loop,1,1,1.00
1,1,1,1,self_loop2,1,1,1.00
1,0,1,1,self_loop2,3,1,0.67
1,1,0,1,self_loop2,5,1,0.40
1,1,1,0,self_loop2,1,1,1.00
1,1,1,1,seq_expr,1,1,1.00
1,0,1,1,seq_expr,1,1,1.00
1,1,0,1,seq_expr,2,1,0.50
1,1,1,0,seq_expr,1,1,1.00
1,1,1,1,simple_assign,1,1,1.00
1,0,1,1,simple_assign,1,1,1.00
1,1,0,1,simple_assign,2,1,0.50
1,1,1,0,simple_assign,1,1,1.00
1,1,1,1,simple_nonser,1,2,2.00
1,0,1,1,simple_nonser,1,2,2.00
1,1,0,1,simple_nonser,4,2,1.00
1,1,1,0,simple_nonser,1,2,2.00
1,1,1,1,simple_nonser2,1,1,1.00
1,0,1,1,simple_nonser2,1,1,1.00
1,1,0,1,simple_nonser2,2,1,0.50
1,1,1,0,simple_nonser2,1,1,1.00
1,1,1,1,simple_nonser2_minus_yields_is_ser,1,1,1.00
1,0,1,1,simple_nonser2_minus_yields_is_ser,1,1,1.00
1,1,0,1,simple_nonser2_minus_yields_is_ser,2,1,0.50
1,1,1,0,simple_nonser2_minus_yields_is_ser,1,1,1.00
1,1,1,1,simple_nonser2_turned_ser_with_locks,1,1,1.00
1,0,1,1,simple_nonser2_turned_ser_with_locks,1,1,1.00
1,1,0,1,simple_nonser2_turned_ser_with_locks,2,1,0.50
1,1,1,0,simple_nonser2_turned_ser_with_locks,1,1,1.00
1,1,1,1,simple_nonser3,1,1,1.00
1,0,1,1,simple_nonser3,2,2,1.50
1,1,0,1,simple_nonser3,6,2,0.83
1,1,1,0,simple_nonser3,1,1,1.00
1,1,1,1,simple_ser,1,1,1.00
1,0,1,1,simple_ser,1,1,1.00
1,1,0,1,simple_ser,2,1,0.50
1,1,1,0,simple_ser,1,1,1.00
1,1,1,1,snapshot_isolation_network_monitoring,2,3,1.50
1,0,1,1,snapshot_isolation_network_monitoring,4,4,2.50
1,1,0,1,snapshot_isolation_network_monitoring,37,4,1.84
1,1,1,0,snapshot_isolation_network_monitoring,2,3,1.50
1,1,1,1,snapshot_isolation_network_monitoring_simplified,2,2,1.00
1,0,1,1,snapshot_isolation_network_monitoring_simplified,4,3,1.75
1,1,0,1,snapshot_isolation_network_monitoring_simplified,19,3,1.32
1,1,1,0,snapshot_isolation_network_monitoring_simplified,2,2,1.00
1,1,1,1,stateful_firewall,7,1,0.57
1,0,1,1,stateful_firewall,7,1,0.57
1,1,0,1,stateful_firewall,11,1,0.36
1,1,1,0,stateful_firewall,7,1,0.57
1,1,1,1,stateful_firewall_without_yields,7,1,0.57
1,0,1,1,stateful_firewall_without_yields,7,1,0.57
1,1,0,1,stateful_firewall_without_yields,11,1,0.36
1,1,1,0,stateful_firewall_without_yields,7,1,0.57
1,1,1,1,stop,3,1,1.00
1,0,1,1,stop,6,2,1.50
1,1,0,1,stop,18,2,0.83
1,1,1,0,stop,6,1,1.00
1,1,1,1,stop2,5,1,1.00
1,0,1,1,stop2,6,1,1.00
1,1,0,1,stop2,12,1,0.50
1,1,1,0,stop2,5,1,1.00
1,1,1,1,stop3,2,1,1.00
1,0,1,1,stop3,4,2,1.50
1,1,0,1,stop3,12,2,0.83
1,1,1,0,stop3,4,1,1.00
1,1,1,1,stop3a,4,1,1.00
1,0,1,1,stop3a,8,2,1.50
1,1,0,1,stop3a,24,2,0.83
1,1,1,0,stop3a,4,1,1.00
1,1,1,1,stop4,3,1,1.00
1,0,1,1,stop4,4,1,1.00
1,1,0,1,stop4,8,1,0.50
1,1,1,0,stop4,3,1,1.00
1,1,1,1,stop4a,7,1,1.00
1,0,1,1,stop4a,8,1,1.00
1,1,0,1,stop4a,16,1,0.50
1,1,1,0,stop4a,7,1,1.00
1,1,1,1,tricky2,2,3,3.00
1,0,1,1,tricky2,4,7,4.50
1,1,0,1,tricky2,320,12,5.80
1,1,1,0,tricky2,2,3,3.00
1,1,1,1,tricky3,2,3,3.00
1,0,1,1,tricky3,5,9,5.60
1,1,0,1,tricky3,1284,14,6.78
1,1,1,0,tricky3,2,3,3.00
1,1,1,1,tricky3_ser,3,3,2.33
1,0,1,1,tricky3_ser,3,4,3.00
1,1,0,1,tricky3_ser,34,4,1.91
1,0,1,1,while_expr,1,1,1.00
1,1,0,1,while_expr,2,1,0.50
1,1,1,0,while_expr,1,1,1.00
1,1,1,1,with_comments,1,1,1.00
1,0,1,1,with_comments,1,1,1.00
1,1,1,0,tricky3_ser,3,3,2.33
1,1,0,1,with_comments,2,1,0.50
1,1,1,0,with_comments,1,1,1.00
1,1,1,1,yield_expr,1,1,1.00
1,0,1,1,yield_expr,1,1,1.00
1,1,0,1,yield_expr,2,1,0.50
1,1,1,0,yield_expr,1,1,1.00
1,1,1,1,data_flow,2,2,2.00
1,0,1,1,data_flow,2,3,2.50
1,1,0,1,data_flow,12,3,1.33
1,1,1,0,data_flow,2,2,2.00
1,1,1,1,login_flow,2,8,8.00
1,0,1,1,login_flow,32,28,16.00
1,1,1,0,login_flow,2,8,8.00
1,1,1,1,shopping_cart,4,6,6.00
1,1,1,0,shopping_cart,4,6,6.00
1,1,1,1,snapshot_isolation_directly_as_NS_with_yields,1,1,1.00
1,0,1,1,snapshot_isolation_directly_as_NS_with_yields,3,1,0.67
1,1,0,1,snapshot_isolation_directly_as_NS_with_yields,5,1,0.40
1,1,1,0,snapshot_isolation_directly_as_NS_with_yields,1,1,1.00
1,1,1,1,snapshot_isolation_directly_as_NS_without_yields,1,1,1.00
1,0,1,1,snapshot_isolation_directly_as_NS_without_yields,3,1,0.67
1,1,0,1,snapshot_isolation_directly_as_NS_without_yields,5,1,0.40
1,1,1,0,snapshot_isolation_directly_as_NS_without_yields,1,1,1.00
1,1,1,1,state_machine,3,9,9.00
1,0,1,1,state_machine,48,34,20.33
1,1,1,0,state_machine,7,9,8.43
1,0,0,1,ex,2,1,0.50
1,0,0,1,complex_expr,2,1,0.50
1,0,0,1,flag_non_ser_turned_ser,9,2,0.89
1,0,0,1,equality_check,2,1,0.50
1,0,0,1,boolean_ops,2,1,0.50
1,0,0,1,flag_non_ser,3,1,0.33
1,0,0,1,arithmetic,2,1,0.50
1,0,0,1,fred_arith_simplified_until_1,4,1,0.50
1,0,0,1,fred_arith,336,14,6.81
1,0,0,1,fred,336,14,6.81
1,0,0,1,fred2_arith,336,14,6.81
1,0,0,1,complex_while_with_yields,4,1,0.50
1,0,0,1,fred_arith_simplified_until_2,20,4,1.90
1,0,0,1,fred2,336,14,6.81
1,0,0,1,fred_arith_tricky2,4,1,0.50
1,0,0,1,fred_arith_tricky,20,4,1.90
1,0,0,1,funny,6,1,0.50
1,0,0,1,fred_arith_tricky3,24,5,2.33
1,0,0,1,globals,5,1,0.40
1,0,0,1,if_expr,2,1,0.50
1,0,0,1,if_while,2,1,0.50
1,0,0,1,incrdecr,20,4,1.90
1,0,0,1,mixed_expr,2,1,0.50
1,0,0,1,multiple_requests,4,2,1.00
1,0,0,1,multiple_vars,2,1,0.50
1,0,0,1,nested_while,2,1,0.50
1,0,0,1,nondet,1,0,0.00
1,0,0,1,modulo,5120,14,6.90
1,0,0,1,nondet2,12,2,0.83
1,0,0,1,nondet_impl,24,5,2.33
1,0,0,1,nondet_impl2,2,1,0.50
1,0,0,1,self_loop,3,1,0.33
1,0,0,1,modulo_nonser,20484,15,7.40
1,0,0,1,self_loop2,5,1,0.40
1,0,0,1,seq_expr,2,1,0.50
1,0,0,1,simple_assign,2,1,0.50
1,0,0,1,simple_nonser,4,2,1.00
1,0,0,1,simple_nonser2,2,1,0.50
1,0,0,1,simple_nonser2_minus_yields_is_ser,2,1,0.50
1,0,0,1,simple_nonser2_turned_ser_with_locks,2,1,0.50
1,0,0,1,simple_nonser3,6,2,0.83
1,0,0,1,simple_ser,2,1,0.50
1,0,0,1,snapshot_isolation_network_monitoring,37,4,1.84
1,0,0,1,snapshot_isolation_network_monitoring_simplified,19,3,1.32
1,0,0,1,stateful_firewall,11,1,0.36
1,0,0,1,stateful_firewall_without_yields,11,1,0.36
1,0,0,1,stop2,12,1,0.50
1,0,0,1,stop,18,2,0.83
1,0,0,1,stop3,12,2,0.83
1,0,0,1,stop3a,24,2,0.83
1,0,0,1,stop4,8,1,0.50
1,0,0,1,stop4a,16,1,0.50
1,0,0,1,tricky2,1284,14,6.78
1,0,0,1,tricky3,320,12,5.80
1,0,0,1,while_expr,2,1,0.50
1,0,0,1,with_comments,2,1,0.50
1,0,0,1,yield_expr,2,1,0.50
1,0,0,1,tricky3_ser,34,4,1.91
1,0,0,1,data_flow,12,3,1.33
1,0,0,1,snapshot_isolation_directly_as_NS_with_yields,5,1,0.40
1,0,0,1,snapshot_isolation_directly_as_NS_without_yields,5,1,0.40
1,0,0,1,BGP_routing,147464,29,14.33
1,1,1,1,fred,9,3,2.56
1,1,1,1,simple_ser,1,1,1.00
1,1,1,1,fred_arith_simplified_until_1,2,1,1.00
1,1,1,1,fred,9,3,2.56
1,1,1,1,arithmetic,1,1,1.00
1,1,1,1,state_machine,7,9,8.43
1,1,1,1,simple_nonser2_minus_yields_is_ser,1,1,1.00
1,1,1,1,simple_nonser2_minus_yields_is_ser,1,1,1.00
1,1,1,1,simple_nonser2_minus_yields_is_ser,1,1,1.00
1,1,1,1,simple_nonser2_minus_yields_is_ser,1,1,1.00
1,1,1,1,simple_nonser2_turned_ser_with_locks,1,1,1.00
1,1,1,1,simple_nonser2_turned_ser_with_locks,1,1,1.00
1,1,1,1,simple_nonser2_minus_yields_is_ser,1,1,1.00
