bidirectional_pruning ON,remove_redundant ON,generate_less ON,smart_order ON,benchmark,index,stage,num_places,num_transitions
1,1,1,1,ex,0,pre_pruning,8,7
1,1,1,1,ex,0,post_pruning,8,6
1,1,1,1,data_flow,0,pre_pruning,12,10
1,1,1,1,data_flow,0,post_pruning,9,7
1,1,1,1,flag_non_ser,0,pre_pruning,9,11
1,1,1,1,flag_non_ser,0,post_pruning,1,0
1,1,1,1,state_machine,0,pre_pruning,17,21
1,1,1,1,state_machine,0,post_pruning,17,18
1,1,1,1,login_flow,0,pre_pruning,17,18
1,1,1,1,login_flow,0,post_pruning,17,18
1,1,1,1,data_flow,1,pre_pruning,12,10
1,1,1,1,data_flow,1,post_pruning,9,7
1,1,1,1,flag_non_ser,1,pre_pruning,9,11
1,1,1,1,flag_non_ser,1,post_pruning,9,11
1,1,1,1,fred_arith_tricky2,0,pre_pruning,23,32
1,1,1,1,fred_arith_tricky2,0,post_pruning,15,14
1,1,1,1,state_machine,1,pre_pruning,17,21
1,1,1,1,state_machine,1,post_pruning,17,18
1,1,1,1,login_flow,1,pre_pruning,17,18
1,1,1,1,login_flow,1,post_pruning,17,18
1,1,1,1,fred_arith_tricky3,0,pre_pruning,36,57
1,1,1,1,fred_arith_tricky3,0,post_pruning,18,19
1,1,1,1,funny,0,pre_pruning,11,10
1,1,1,1,funny,0,post_pruning,11,10
1,1,1,1,globals,0,pre_pruning,11,10
1,1,1,1,globals,0,post_pruning,11,10
1,1,1,1,fred_arith_simplified_until_1,0,pre_pruning,14,14
1,1,1,1,fred_arith_simplified_until_1,0,post_pruning,8,6
1,1,1,1,shopping_cart,0,pre_pruning,18,24
1,1,1,1,shopping_cart,0,post_pruning,16,19
1,1,1,1,fred_arith_simplified_until_1,1,pre_pruning,14,14
1,1,1,1,fred_arith_simplified_until_1,1,post_pruning,8,6
1,1,1,1,shopping_cart,1,pre_pruning,18,24
1,1,1,1,shopping_cart,1,post_pruning,17,20
1,1,1,1,fred_arith_simplified_until_1,2,pre_pruning,14,14
1,1,1,1,fred_arith_simplified_until_1,2,post_pruning,8,6
1,1,1,1,shopping_cart,2,pre_pruning,18,24
1,1,1,1,shopping_cart,2,post_pruning,17,20
1,1,1,1,fred_arith_simplified_until_1,3,pre_pruning,14,14
1,1,1,1,fred_arith_simplified_until_1,3,post_pruning,8,6
1,1,1,1,shopping_cart,3,pre_pruning,18,24
1,1,1,1,shopping_cart,3,post_pruning,18,21
1,1,1,1,fred_arith_simplified_until_1,4,pre_pruning,14,14
1,1,1,1,fred_arith_simplified_until_1,4,post_pruning,8,6
1,1,1,1,shopping_cart,4,pre_pruning,18,24
1,1,1,1,shopping_cart,4,post_pruning,18,21
1,1,1,1,fred_arith_simplified_until_1,5,pre_pruning,14,14
1,1,1,1,fred_arith_simplified_until_1,5,post_pruning,8,6
1,1,1,1,shopping_cart,5,pre_pruning,18,24
1,1,1,1,shopping_cart,5,post_pruning,17,20
1,1,1,1,modulo_nonser,0,pre_pruning,11,13
1,1,1,1,modulo_nonser,0,post_pruning,9,11
1,1,1,1,fred_arith_simplified_until_2,0,pre_pruning,19,20
1,1,1,1,fred_arith_simplified_until_2,0,post_pruning,13,10
1,1,1,1,fred_arith_simplified_until_2,1,pre_pruning,19,20
1,1,1,1,fred_arith_simplified_until_2,1,post_pruning,13,10
1,1,1,1,fred_arith_simplified_until_2,2,pre_pruning,19,20
1,1,1,1,fred_arith_simplified_until_2,2,post_pruning,13,10
1,1,1,1,multiple_requests,0,pre_pruning,17,14
1,1,1,1,multiple_requests,0,post_pruning,9,8
1,1,1,1,fred_arith_simplified_until_2,3,pre_pruning,19,20
1,1,1,1,fred_arith_simplified_until_2,3,post_pruning,13,10
1,1,1,1,multiple_requests,1,pre_pruning,17,14
1,1,1,1,multiple_requests,1,post_pruning,9,8
1,1,1,1,fred_arith_simplified_until_2,4,pre_pruning,19,20
1,1,1,1,fred_arith_simplified_until_2,4,post_pruning,1,0
1,1,1,1,less_simple_ser,0,pre_pruning,30,39
1,1,1,1,less_simple_ser,0,post_pruning,12,14
1,1,1,1,fred_arith_simplified_until_2,5,pre_pruning,19,20
1,1,1,1,fred_arith_simplified_until_2,5,post_pruning,13,10
1,1,1,1,less_simple_ser,1,pre_pruning,30,39
1,1,1,1,less_simple_ser,1,post_pruning,12,14
1,1,1,1,fred_arith_simplified_until_2,6,pre_pruning,19,20
1,1,1,1,fred_arith_simplified_until_2,6,post_pruning,13,10
1,1,1,1,less_simple_ser,2,pre_pruning,30,39
1,1,1,1,less_simple_ser,2,post_pruning,12,14
1,1,1,1,fred_arith_simplified_until_2,7,pre_pruning,19,20
1,1,1,1,fred_arith_simplified_until_2,7,post_pruning,13,10
1,1,1,1,less_simple_ser,3,pre_pruning,30,39
1,1,1,1,less_simple_ser,3,post_pruning,12,14
1,1,1,1,fred_arith_simplified_until_2,8,pre_pruning,19,20
1,1,1,1,fred_arith_simplified_until_2,8,post_pruning,13,10
1,1,1,1,less_simple_ser,4,pre_pruning,30,39
1,1,1,1,less_simple_ser,4,post_pruning,12,14
1,1,1,1,incrdecr,0,pre_pruning,21,22
1,1,1,1,incrdecr,0,post_pruning,13,10
1,1,1,1,fred_arith_simplified_until_2,9,pre_pruning,19,20
1,1,1,1,fred_arith_simplified_until_2,9,post_pruning,13,10
1,1,1,1,incrdecr,1,pre_pruning,21,22
1,1,1,1,incrdecr,1,post_pruning,13,10
1,1,1,1,less_simple_ser,5,pre_pruning,30,39
1,1,1,1,less_simple_ser,5,post_pruning,12,14
1,1,1,1,fred_arith_simplified_until_2,10,pre_pruning,19,20
1,1,1,1,fred_arith_simplified_until_2,10,post_pruning,13,10
1,1,1,1,incrdecr,2,pre_pruning,21,22
1,1,1,1,incrdecr,2,post_pruning,13,10
1,1,1,1,fred_arith_simplified_until_2,11,pre_pruning,19,20
1,1,1,1,fred_arith_simplified_until_2,11,post_pruning,13,10
1,1,1,1,less_simple_ser,6,pre_pruning,30,39
1,1,1,1,less_simple_ser,6,post_pruning,4,3
1,1,1,1,incrdecr,3,pre_pruning,21,22
1,1,1,1,incrdecr,3,post_pruning,13,10
1,1,1,1,fred_arith_simplified_until_2,12,pre_pruning,19,20
1,1,1,1,fred_arith_simplified_until_2,12,post_pruning,13,10
1,1,1,1,less_simple_ser,7,pre_pruning,30,39
1,1,1,1,less_simple_ser,7,post_pruning,4,3
1,1,1,1,fred_arith,0,pre_pruning,24,26
1,1,1,1,fred_arith,0,post_pruning,18,14
1,1,1,1,incrdecr,4,pre_pruning,21,22
1,1,1,1,incrdecr,4,post_pruning,1,0
1,1,1,1,less_simple_ser,8,pre_pruning,30,39
1,1,1,1,less_simple_ser,8,post_pruning,4,3
1,1,1,1,fred_arith,1,pre_pruning,24,26
1,1,1,1,fred_arith,1,post_pruning,18,14
1,1,1,1,incrdecr,5,pre_pruning,21,22
1,1,1,1,incrdecr,5,post_pruning,13,10
1,1,1,1,fred_arith,2,pre_pruning,24,26
1,1,1,1,fred_arith,2,post_pruning,18,14
1,1,1,1,incrdecr,6,pre_pruning,21,22
1,1,1,1,incrdecr,6,post_pruning,13,10
1,1,1,1,fred_arith,3,pre_pruning,24,26
1,1,1,1,fred_arith,3,post_pruning,18,14
1,1,1,1,incrdecr,7,pre_pruning,21,22
1,1,1,1,incrdecr,7,post_pruning,13,10
1,1,1,1,fred_arith,4,pre_pruning,24,26
1,1,1,1,fred_arith,4,post_pruning,18,14
1,1,1,1,incrdecr,8,pre_pruning,21,22
1,1,1,1,incrdecr,8,post_pruning,13,10
1,1,1,1,fred_arith,5,pre_pruning,24,26
1,1,1,1,fred_arith,5,post_pruning,1,0
1,1,1,1,modulo,0,pre_pruning,10,10
1,1,1,1,modulo,0,post_pruning,7,5
1,1,1,1,incrdecr,9,pre_pruning,21,22
1,1,1,1,incrdecr,9,post_pruning,13,10
1,1,1,1,fred_arith,6,pre_pruning,24,26
1,1,1,1,fred_arith,6,post_pruning,1,0
1,1,1,1,nondet,0,pre_pruning,10,15
1,1,1,1,nondet,0,post_pruning,1,0
1,1,1,1,modulo,1,pre_pruning,10,10
1,1,1,1,modulo,1,post_pruning,10,10
1,1,1,1,incrdecr,10,pre_pruning,21,22
1,1,1,1,incrdecr,10,post_pruning,13,10
1,1,1,1,fred_arith,7,pre_pruning,24,26
1,1,1,1,fred_arith,7,post_pruning,8,6
1,1,1,1,modulo,2,pre_pruning,10,10
1,1,1,1,modulo,2,post_pruning,7,5
1,1,1,1,incrdecr,11,pre_pruning,21,22
1,1,1,1,incrdecr,11,post_pruning,13,10
1,1,1,1,fred_arith,8,pre_pruning,24,26
1,1,1,1,fred_arith,8,post_pruning,18,14
1,1,1,1,modulo,3,pre_pruning,10,10
1,1,1,1,modulo,3,post_pruning,10,10
1,1,1,1,incrdecr,12,pre_pruning,21,22
1,1,1,1,incrdecr,12,post_pruning,13,10
1,1,1,1,fred_arith,9,pre_pruning,24,26
1,1,1,1,fred_arith,9,post_pruning,18,14
1,1,1,1,modulo,4,pre_pruning,10,10
1,1,1,1,modulo,4,post_pruning,10,10
1,1,1,1,fred_arith,10,pre_pruning,24,26
1,1,1,1,fred_arith,10,post_pruning,18,14
1,1,1,1,modulo,5,pre_pruning,10,10
1,1,1,1,modulo,5,post_pruning,10,10
1,1,1,1,fred_arith,11,pre_pruning,24,26
1,1,1,1,fred_arith,11,post_pruning,5,3
1,1,1,1,modulo,6,pre_pruning,10,10
1,1,1,1,modulo,6,post_pruning,5,3
1,1,1,1,fred_arith,12,pre_pruning,24,26
1,1,1,1,fred_arith,12,post_pruning,8,6
1,1,1,1,modulo,7,pre_pruning,10,10
1,1,1,1,modulo,7,post_pruning,7,5
1,1,1,1,fred_arith,13,pre_pruning,24,26
1,1,1,1,fred_arith,13,post_pruning,18,14
1,1,1,1,modulo,8,pre_pruning,10,10
1,1,1,1,modulo,8,post_pruning,7,5
1,1,1,1,nondet_impl,0,pre_pruning,24,26
1,1,1,1,nondet_impl,0,post_pruning,17,16
1,1,1,1,fred_arith,14,pre_pruning,24,26
1,1,1,1,fred_arith,14,post_pruning,18,14
1,1,1,1,modulo,9,pre_pruning,10,10
1,1,1,1,modulo,9,post_pruning,8,7
1,1,1,1,fred_arith,15,pre_pruning,24,26
1,1,1,1,fred_arith,15,post_pruning,18,14
1,1,1,1,modulo,10,pre_pruning,10,10
1,1,1,1,modulo,10,post_pruning,10,10
1,1,1,1,fred_arith,16,pre_pruning,24,26
1,1,1,1,fred_arith,16,post_pruning,18,14
1,1,1,1,modulo,11,pre_pruning,10,10
1,1,1,1,modulo,11,post_pruning,10,10
1,1,1,1,fred_arith,17,pre_pruning,24,26
1,1,1,1,fred_arith,17,post_pruning,18,14
1,1,1,1,modulo,12,pre_pruning,10,10
1,1,1,1,modulo,12,post_pruning,10,10
1,1,1,1,fred_arith,18,pre_pruning,24,26
1,1,1,1,fred_arith,18,post_pruning,18,14
1,1,1,1,modulo,13,pre_pruning,10,10
1,1,1,1,modulo,13,post_pruning,8,7
1,1,1,1,fred_arith,19,pre_pruning,24,26
1,1,1,1,fred_arith,19,post_pruning,18,14
1,1,1,1,modulo,14,pre_pruning,10,10
1,1,1,1,modulo,14,post_pruning,10,10
1,1,1,1,fred_arith,20,pre_pruning,24,26
1,1,1,1,modulo,15,pre_pruning,10,10
1,1,1,1,fred_arith,20,post_pruning,18,14
1,1,1,1,modulo,15,post_pruning,10,10
1,1,1,1,modulo,16,pre_pruning,10,10
1,1,1,1,modulo,16,post_pruning,10,10
1,1,1,1,fred_arith,21,pre_pruning,24,26
1,1,1,1,fred_arith,21,post_pruning,18,14
1,1,1,1,nondet_impl2,0,pre_pruning,24,26
1,1,1,1,nondet_impl2,0,post_pruning,5,4
1,1,1,1,fred_arith,22,pre_pruning,24,26
1,1,1,1,fred_arith,22,post_pruning,18,14
1,1,1,1,nondet_impl2,1,pre_pruning,24,26
1,1,1,1,modulo,17,pre_pruning,10,10
1,1,1,1,modulo,17,post_pruning,8,7
1,1,1,1,nondet_impl2,1,post_pruning,5,4
1,1,1,1,modulo,18,pre_pruning,10,10
1,1,1,1,nondet_impl2,2,pre_pruning,24,26
1,1,1,1,fred_arith,23,pre_pruning,24,26
1,1,1,1,modulo,18,post_pruning,8,7
1,1,1,1,nondet_impl2,2,post_pruning,5,4
1,1,1,1,fred_arith,23,post_pruning,18,14
1,1,1,1,modulo,19,pre_pruning,10,10
1,1,1,1,modulo,19,post_pruning,10,10
1,1,1,1,nondet_impl2,3,pre_pruning,24,26
1,1,1,1,nondet_impl2,3,post_pruning,5,4
1,1,1,1,fred_arith,24,pre_pruning,24,26
1,1,1,1,fred_arith,24,post_pruning,18,14
1,1,1,1,modulo,20,pre_pruning,10,10
1,1,1,1,modulo,20,post_pruning,10,10
1,1,1,1,nondet_impl2,4,pre_pruning,24,26
1,1,1,1,nondet_impl2,4,post_pruning,5,4
1,1,1,1,nondet2,0,pre_pruning,12,24
1,1,1,1,nondet2,0,post_pruning,12,22
1,1,1,1,BGP_routing,0,pre_pruning,101,159
1,1,1,1,BGP_routing,0,post_pruning,39,55
1,1,1,1,BGP_routing,1,pre_pruning,101,159
1,1,1,1,BGP_routing,1,post_pruning,39,55
1,1,1,1,simple_nonser2,0,pre_pruning,8,7
1,1,1,1,simple_nonser2,0,post_pruning,8,7
1,1,1,1,simple_nonser,0,pre_pruning,16,18
1,1,1,1,simple_nonser,0,post_pruning,11,11
1,1,1,1,simple_nonser,1,pre_pruning,16,18
1,1,1,1,simple_nonser,1,post_pruning,11,11
1,1,1,1,simple_nonser2_turned_ser_with_locks,0,pre_pruning,8,7
1,1,1,1,simple_nonser2_turned_ser_with_locks,0,post_pruning,8,6
1,1,1,1,simple_nonser3,0,pre_pruning,8,9
1,1,1,1,simple_nonser3,0,post_pruning,8,9
1,1,1,1,snapshot_isolation_network_monitoring_without_yields,0,pre_pruning,26,34
1,1,1,1,snapshot_isolation_network_monitoring_without_yields,0,post_pruning,16,17
1,1,1,1,snapshot_isolation_network_monitoring_without_yields,1,pre_pruning,26,34
1,1,1,1,snapshot_isolation_network_monitoring_without_yields,1,post_pruning,16,17
1,1,1,1,snapshot_isolation_network_monitoring_without_yields,2,pre_pruning,26,34
1,1,1,1,snapshot_isolation_network_monitoring_without_yields,2,post_pruning,1,0
1,1,1,1,snapshot_isolation_network_monitoring_without_yields,3,pre_pruning,26,34
1,1,1,1,snapshot_isolation_network_monitoring_without_yields,3,post_pruning,1,0
1,1,1,1,snapshot_isolation_network_monitoring_without_yields,4,pre_pruning,26,34
1,1,1,1,snapshot_isolation_network_monitoring_without_yields,4,post_pruning,1,0
1,1,1,1,snapshot_isolation_network_monitoring_without_yields,5,pre_pruning,26,34
1,1,1,1,snapshot_isolation_network_monitoring_without_yields,5,post_pruning,16,17
1,1,1,1,snapshot_isolation_network_monitoring,0,pre_pruning,47,94
1,1,1,1,snapshot_isolation_network_monitoring,0,post_pruning,30,49
1,1,1,1,stateful_firewall,0,pre_pruning,22,24
1,1,1,1,stateful_firewall,0,post_pruning,1,0
1,1,1,1,stateful_firewall,1,pre_pruning,22,24
1,1,1,1,stateful_firewall,1,post_pruning,1,0
1,1,1,1,stateful_firewall,2,pre_pruning,22,24
1,1,1,1,stateful_firewall,2,post_pruning,1,0
1,1,1,1,stateful_firewall,3,pre_pruning,22,24
1,1,1,1,stateful_firewall,3,post_pruning,15,15
1,1,1,1,stateful_firewall,4,pre_pruning,22,24
1,1,1,1,stateful_firewall,4,post_pruning,10,10
1,1,1,1,stateful_firewall,5,pre_pruning,22,24
1,1,1,1,stateful_firewall,5,post_pruning,10,10
1,1,1,1,stateful_firewall,6,pre_pruning,22,24
1,1,1,1,stateful_firewall,6,post_pruning,15,15
1,1,1,1,stateful_firewall,7,pre_pruning,22,24
1,1,1,1,stateful_firewall,7,post_pruning,15,15
1,1,1,1,stateful_firewall,8,pre_pruning,22,24
1,1,1,1,stateful_firewall,8,post_pruning,17,18
1,1,1,1,stateful_firewall,9,pre_pruning,22,24
1,1,1,1,stateful_firewall,9,post_pruning,1,0
1,1,1,1,stateful_firewall,10,pre_pruning,22,24
1,1,1,1,stateful_firewall,10,post_pruning,17,18
1,1,1,1,stateful_firewall,11,pre_pruning,22,24
1,1,1,1,stateful_firewall,11,post_pruning,17,18
1,1,1,1,stateful_firewall,12,pre_pruning,22,24
1,1,1,1,stateful_firewall,12,post_pruning,15,16
1,1,1,1,stateful_firewall,13,pre_pruning,22,24
1,1,1,1,stateful_firewall,13,post_pruning,19,20
1,1,1,1,stateful_firewall,14,pre_pruning,22,24
1,1,1,1,stateful_firewall,14,post_pruning,17,17
1,1,1,1,stateful_firewall,15,pre_pruning,22,24
1,1,1,1,stateful_firewall,15,post_pruning,5,3
1,1,1,1,stateful_firewall,16,pre_pruning,22,24
1,1,1,1,stateful_firewall,16,post_pruning,5,3
1,1,1,1,stateful_firewall,17,pre_pruning,22,24
1,1,1,1,stateful_firewall,17,post_pruning,5,3
1,1,1,1,fred_arith_tricky,0,pre_pruning,29,46
1,1,1,1,fred_arith_tricky,0,post_pruning,17,22
1,1,1,1,stateful_firewall,18,pre_pruning,22,24
1,1,1,1,stateful_firewall,18,post_pruning,19,20
1,1,1,1,stateful_firewall,19,pre_pruning,22,24
1,1,1,1,stateful_firewall,19,post_pruning,19,20
1,1,1,1,stateful_firewall,20,pre_pruning,22,24
1,1,1,1,stateful_firewall,20,post_pruning,10,7
1,1,1,1,stateful_firewall,21,pre_pruning,22,24
1,1,1,1,stateful_firewall,21,post_pruning,10,7
1,1,1,1,stateful_firewall,22,pre_pruning,22,24
1,1,1,1,stateful_firewall,22,post_pruning,22,24
1,1,1,1,stateful_firewall,23,pre_pruning,22,24
1,1,1,1,stateful_firewall,23,post_pruning,20,22
1,1,1,1,stop3,0,pre_pruning,18,25
1,1,1,1,stop3,0,post_pruning,18,25
1,1,1,1,stop2,0,pre_pruning,14,19
1,1,1,1,stop2,0,post_pruning,14,13
1,1,1,1,stop2,1,pre_pruning,14,19
1,1,1,1,stop2,1,post_pruning,11,11
1,1,1,1,stop2,2,pre_pruning,14,19
1,1,1,1,stop2,2,post_pruning,8,6
1,1,1,1,stop2,3,pre_pruning,14,19
1,1,1,1,stop2,3,post_pruning,11,8
1,1,1,1,stop2,4,pre_pruning,14,19
1,1,1,1,stop2,4,post_pruning,11,8
1,1,1,1,stop2,5,pre_pruning,14,19
1,1,1,1,stop2,5,post_pruning,14,13
1,1,1,1,stop2,6,pre_pruning,14,19
1,1,1,1,stop2,6,post_pruning,11,11
1,1,1,1,stateful_firewall_without_yields,0,pre_pruning,18,15
1,1,1,1,stateful_firewall_without_yields,0,post_pruning,1,0
1,1,1,1,stateful_firewall_without_yields,1,pre_pruning,18,15
1,1,1,1,stateful_firewall_without_yields,1,post_pruning,1,0
1,1,1,1,stateful_firewall_without_yields,2,pre_pruning,18,15
1,1,1,1,stateful_firewall_without_yields,2,post_pruning,10,7
1,1,1,1,stateful_firewall_without_yields,3,pre_pruning,18,15
1,1,1,1,stateful_firewall_without_yields,3,post_pruning,5,3
1,1,1,1,stateful_firewall_without_yields,4,pre_pruning,18,15
1,1,1,1,stateful_firewall_without_yields,4,post_pruning,10,7
1,1,1,1,stateful_firewall_without_yields,5,pre_pruning,18,15
1,1,1,1,stateful_firewall_without_yields,5,post_pruning,12,9
1,1,1,1,stateful_firewall_without_yields,6,pre_pruning,18,15
1,1,1,1,stateful_firewall_without_yields,6,post_pruning,1,0
1,1,1,1,stop4,0,pre_pruning,18,25
1,1,1,1,stop4,0,post_pruning,15,11
1,1,1,1,stateful_firewall_without_yields,7,pre_pruning,18,15
1,1,1,1,stateful_firewall_without_yields,7,post_pruning,12,9
1,1,1,1,stop4,1,pre_pruning,18,25
1,1,1,1,stop4,1,post_pruning,9,7
1,1,1,1,stateful_firewall_without_yields,8,pre_pruning,18,15
1,1,1,1,stateful_firewall_without_yields,8,post_pruning,12,9
1,1,1,1,stop4,2,pre_pruning,18,25
1,1,1,1,stop4,2,post_pruning,12,9
1,1,1,1,stateful_firewall_without_yields,9,pre_pruning,18,15
1,1,1,1,stateful_firewall_without_yields,9,post_pruning,15,12
1,1,1,1,stop4,3,pre_pruning,18,25
1,1,1,1,stop4,3,post_pruning,12,9
1,1,1,1,stateful_firewall_without_yields,10,pre_pruning,18,15
1,1,1,1,stateful_firewall_without_yields,10,post_pruning,13,9
1,1,1,1,stop4,4,pre_pruning,18,25
1,1,1,1,stop4,4,post_pruning,18,17
1,1,1,1,stateful_firewall_without_yields,11,pre_pruning,18,15
1,1,1,1,stateful_firewall_without_yields,11,post_pruning,5,3
1,1,1,1,stop4,5,pre_pruning,18,25
1,1,1,1,stop4,5,post_pruning,15,15
1,1,1,1,stateful_firewall_without_yields,12,pre_pruning,18,15
1,1,1,1,stateful_firewall_without_yields,12,post_pruning,5,3
1,1,1,1,stop4,6,pre_pruning,18,25
1,1,1,1,stop4,6,post_pruning,12,13
1,1,1,1,stateful_firewall_without_yields,13,pre_pruning,18,15
1,1,1,1,stateful_firewall_without_yields,13,post_pruning,15,12
1,1,1,1,stateful_firewall_without_yields,14,pre_pruning,18,15
1,1,1,1,stateful_firewall_without_yields,14,post_pruning,15,12
1,1,1,1,stateful_firewall_without_yields,15,pre_pruning,18,15
1,1,1,1,stateful_firewall_without_yields,15,post_pruning,10,7
1,1,1,1,stateful_firewall_without_yields,16,pre_pruning,18,15
1,1,1,1,stateful_firewall_without_yields,16,post_pruning,18,15
1,1,1,1,stateful_firewall_without_yields,17,pre_pruning,18,15
1,1,1,1,stateful_firewall_without_yields,17,post_pruning,12,9
1,1,1,1,stateful_firewall_without_yields,18,pre_pruning,18,15
1,1,1,1,stateful_firewall_without_yields,18,post_pruning,18,15
1,1,1,1,stateful_firewall_without_yields,19,pre_pruning,18,15
1,1,1,1,stateful_firewall_without_yields,19,post_pruning,18,15
1,1,1,1,stateful_firewall_without_yields,20,pre_pruning,18,15
1,1,1,1,stateful_firewall_without_yields,20,post_pruning,16,12
1,1,1,1,stateful_firewall_without_yields,21,pre_pruning,18,15
1,1,1,1,stateful_firewall_without_yields,21,post_pruning,10,7
1,1,1,1,stop4a,0,pre_pruning,18,25
1,1,1,1,stop4a,0,post_pruning,18,17
1,1,1,1,stop4a,1,pre_pruning,18,25
1,1,1,1,stop4a,1,post_pruning,12,13
1,1,1,1,stop4a,2,pre_pruning,18,25
1,1,1,1,stop4a,2,post_pruning,15,15
1,1,1,1,stop4a,3,pre_pruning,18,25
1,1,1,1,stop4a,3,post_pruning,15,15
1,1,1,1,stop4a,4,pre_pruning,18,25
1,1,1,1,stop4a,4,post_pruning,12,9
1,1,1,1,stop4a,5,pre_pruning,18,25
1,1,1,1,stop4a,5,post_pruning,9,7
1,1,1,1,stop4a,6,pre_pruning,18,25
1,1,1,1,stop4a,6,post_pruning,15,11
1,1,1,1,stop4a,7,pre_pruning,18,25
1,1,1,1,stop4a,7,post_pruning,15,11
1,1,1,1,stop4a,8,pre_pruning,18,25
1,1,1,1,stop4a,8,post_pruning,12,9
1,1,1,1,stop4a,9,pre_pruning,18,25
1,1,1,1,stop4a,9,post_pruning,18,17
1,1,1,1,stop4a,10,pre_pruning,18,25
1,1,1,1,stop4a,10,post_pruning,15,15
1,1,1,1,stop4a,11,pre_pruning,18,25
1,1,1,1,stop4a,11,post_pruning,12,13
1,1,1,1,stop4a,12,pre_pruning,18,25
1,1,1,1,stop4a,12,post_pruning,18,17
1,1,1,1,stop4a,13,pre_pruning,18,25
1,1,1,1,stop4a,13,post_pruning,15,15
1,1,1,1,stop4a,14,pre_pruning,18,25
1,1,1,1,stop4a,14,post_pruning,12,13
1,1,1,1,bank,0,pre_pruning,86,285
1,1,1,1,bank,0,post_pruning,56,103
1,1,1,1,tricky2,0,pre_pruning,65,99
1,1,1,1,tricky2,0,post_pruning,25,35
1,1,1,1,tricky2,1,pre_pruning,65,99
1,1,1,1,tricky2,1,post_pruning,25,35
1,1,1,1,tricky2,2,pre_pruning,65,99
1,1,1,1,tricky2,2,post_pruning,25,35
